,ZipCode,Issue Reported,Longitude,Status Date
7744,78712,Crash Urgent,-97.742813,03/11/2019 12:50:04 AM +0000
7745,78722,zSTALLED VEHICLE,-97.674037,03/11/2019 01:20:05 AM +0000
7746,78712,Crash Service,-97.737398,03/11/2019 07:55:03 AM +0000
7747,78741,zSTALLED VEHICLE,-97.717794,03/11/2019 12:45:05 PM +0000
7748,78741,Traffic Hazard,-97.70793499999999,03/11/2019 01:00:07 PM +0000
7749,78728,COLLISION WITH INJURY,-97.666898,03/11/2019 01:10:04 PM +0000
7760,78729,Crash Urgent,-97.747162,03/11/2019 02:25:03 AM +0000
7761,78723,Traffic Hazard,-97.64822,03/11/2019 12:45:05 PM +0000
7762,78749,TRFC HAZD/ DEBRIS,-97.901849,03/11/2019 01:05:04 PM +0000
7776,78712,Crash Service,-97.75432099999999,03/11/2019 01:40:04 AM +0000
7777,78729,COLLISION WITH INJURY,-97.72554000000001,03/11/2019 01:45:04 AM +0000
7778,78728,COLLISION,-97.666184,03/11/2019 01:00:07 PM +0000
7779,78748,Traffic Hazard,-97.83349799999999,03/11/2019 01:00:07 PM +0000
7780,78748,zSTALLED VEHICLE,-97.80636,03/11/2019 01:05:04 PM +0000
7782,78756,Crash Service,-97.712739,03/11/2019 01:40:04 PM +0000
7783,78751,Crash Urgent,-97.667152,03/11/2019 02:10:06 PM +0000
7818,78728,VEHICLE FIRE,-97.643164,03/11/2019 01:20:05 AM +0000
7819,78712,Crash Urgent,-97.73913399999999,03/11/2019 02:10:06 PM +0000
7842,78722,zSTALLED VEHICLE,-97.67396,03/11/2019 01:55:03 AM +0000
7843,78733,TRFC HAZD/ DEBRIS,-97.96851099999999,03/11/2019 01:55:03 AM +0000
7844,78712,Crash Urgent,-97.74517,03/11/2019 03:40:04 AM +0000
7845,78751,COLLISION,-97.65950500000001,03/11/2019 01:05:04 PM +0000
7859,78712,Crash Service,-97.74180799999999,03/11/2019 02:30:05 AM +0000
7860,78757,Traffic Hazard,-97.743121,03/11/2019 01:15:05 PM +0000
7861,78754,TRFC HAZD/ DEBRIS,-97.510464,03/11/2019 03:40:07 PM +0000
7862,78701,Crash Urgent,-97.786274,03/11/2019 03:50:05 PM +0000
7863,78712,Traffic Hazard,-97.727905,03/11/2019 05:00:07 PM +0000
7864,78723,Traffic Hazard,-97.6005,03/11/2019 05:45:04 PM +0000
7865,78741,Crash Urgent,-97.719415,03/11/2019 07:00:07 PM +0000
7866,78712,Crash Urgent,-97.745818,03/11/2019 08:15:05 PM +0000
7867,78751,Crash Service,-97.69452700000001,03/11/2019 09:25:04 PM +0000
7896,78754,TRFC HAZD/ DEBRIS,-97.560688,03/11/2019 02:40:05 AM +0000
7897,78745,TRFC HAZD/ DEBRIS,-97.813263,03/11/2019 01:30:06 PM +0000
7898,78757,Crash Urgent,-97.739986,03/11/2019 03:40:07 PM +0000
